Компания,Телефон,Сайт,Категория,Город,Страна,Score,Статус,Источник,Дата
"Оптовый Склад","+7 777 021 0404","","Торговый центр","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"ИП ""ОПТОВЫЙ СКЛАД АЛМАТЫ""","+7 707 578 5902","http://www.opt-market.kz/","Магазин товаров для ресторанов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Универсальный оптово-торговый комплекс ""Барыс IV""","","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптовка Барыс","","","Магазин","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"ОПТОВЫЙ СКЛАД АЛМАТЫ","+7 707 370 8128","","Офис компании","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптомаркет Евразия","","","Супермаркет","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"METRO Алматы","+7 777 009 1344","https://www.metro-kz.com/magaziny/almaty?utm_source=gmb&utm_medium=organic&utm_content=website&utm_term=ALMATY","Оптовая торговля","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Arzan Almaty Optom","+7 702 151 5880","https://taplink.cc/arzan.optom.almaty","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Phaeton DC","+7 727 356 0560","http://www.phaeton.kz/","Магазин автозапчастей","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"""Индийский трикотаж"" оптовый склад","+7 707 419 2797","","Магазин одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптовка","","https://2gis.kz/almaty/firm/9429940000801948","Хозяйственный магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Носки Оптом Алматы","+7 708 242 5553","","Продуктовый рынок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"КАНЦTREND - Оптовый склад","+7 708 709 7060","https://www.instagram.com/kanstovar_almaty/","Магазин товаров для дома","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптовый склад ""ТЕКСТИЛЯ""","+7 707 773 1376","http://wa.me/+77077731376","Магазин постельного белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"TOIMART","+7 800 070-01-42","https://www.toimart.kz/","Супермаркет","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Оптовый склад Second Hand","+7 747 319 9154","https://second-hend.kz/","Секонд-хенд","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Торговый Центр Евразия Remax","+7 708 158 5050","","Оптовая продажа бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Almatyoptovka. Kz","+7 705 413 4864","","Продуктовый рынок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Кенжехан базары","+7 707 869 7371","","Рынок","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"Aakids Детская Одежда Оптом Алматы","+7 777 826 9696","","Оптовый рынок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптовый Ковровый Склад","+7 747 646 4069","https://instagram.com/kovry_v_almaty_1111?igshid=16pfoz11o8v4r","Магазин ковров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Бытовая химия оптом / ИП Оптовка","+7 707 656 9121","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ILKAM","+7 707 851 1082","https://ilkam.kz/product_list","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Резервснаб плюс""","+7 727 356 0707","http://rsp.com.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ocean Fresh Group","+7 701 493 4155","https://oceanfresh.kz/","Свежие продукты","9800475",KZ,15,new,google_maps_apify,2026-08-16
"SOZO","+7 701 772 7041","http://sozollp.kz/","Оптовая торговля за наличный расчёт без доставки товара","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Fish&ka магазин морепродуктов","+7 707 635 2690","https://instagram.com/fishka__magazin?igshid=MzRlODBiNWFlZA==","Магазин замороженных продуктов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Строительный магазин Все для дома","+7 705 143 1515","","Магазин строительных товаров","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ЕТС-Казахстан","+7 727 346 6614","https://utsrus.com/","Оптовая продажа химикатов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Башмак.кз","+7 727 329 3951","http://bashmak.kz/","Обувной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Alma Global","+7 771 191 6364","","Оптовая продажа фруктов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Book24","+7 777 007 6633","","Интернет-магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Deemax","+7 777 722 2226","http://www.deemax.kz/","Интернет-магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТМ «Tecata» - светодиодные лампы","+7 707 227 0701","","Магазин осветительных приборов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Жана Кенсе: канцтовары, магнитно-маркерные доски в Алматы","+7 702 206 9664","","Магазин канцелярских товаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ARMTEK","+7 771 752 7600","https://armtek.kz/","Магазин автозапчастей","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Автозапчасти оптом","+7 727 327 8575","","","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО МегаКлимат","+7 705 755 7212","http://www.megaklimat.kz/","Магазин кондиционеров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Пакеты и пленка «Sheykh»","+7 700 000 0027","https://sheykh.kz/","Поставщик пластиковых пакетов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Фармацевтическая компания ТОО «Медоптик»","+7 727 383 2202","http://www.medoptic.kz/","Производитель","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Аптечный Склад","+7 727 386 1731","","Аптека","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ЭЙКОС","+7 7272 90 28 22","https://www.aikos.kz/","Магазин шин и дисков","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Химреактивы","+7 7272 39 35 75","http://www.himco.kz/contact","Поставщик лабораторного оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Продовольственный рынок","","","Фермерский рынок","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Морской Урожай","+7 702 233 6927","","Оптовая продажа морепродуктов","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Стрейч пленка оптом в Алматы - Polyten.KZ","+7 700 151 5270","","Поставщик полиэтиленовой и полимерной плёнки","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"DVG Service","+7 777 170 6761","https://dvg.kz/","Компьютерный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Кенжехан вещевой Рынок","+7 702 183 8121","","Рынок","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Passo Chantal Almaty","+7 701 947 0301","","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Мизам","+7 700 094 0094","","Рынок","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Торгoвое Оборудование / манекены / ресепшн / Экономпанели / TM Company","+7 701 254 9975","http://instagram.com/tm.maneken/","Поставщик оборудования для магазинов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Социальный оптово-розничный рынок ""Самал""","","","Торговый центр","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Рынок Автозапчастей Кенжехан 2","+7 705 154 3272","","Торговый центр","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Optom Almaty Istanbul","+7 707 710 5999","https://instagram.com/optom_almaty_istanbul?utm_medium=copy_link","Магазин одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
