company,phone,website,address,category,rating,reviews,score,source,status
Оптовый Склад,+7 777 021 0404,,"Кульджинский тракт 12, Алматы 050019, Казахстан",Торговый центр,4.3,101,45,google_maps_apify,new
"ИП ""ОПТОВЫЙ СКЛАД АЛМАТЫ""",+7 707 578 5902,http://www.opt-market.kz/,"пр-т. Турара Рыскулова 202, Алматы, Казахстан",Магазин товаров для ресторанов,3,2,15,google_maps_apify,new
"Универсальный оптово-торговый комплекс ""Барыс IV""",,,"улица Розыбакиева 4, Алматы, Казахстан",Оптовая торговля,4.5,17,15,google_maps_apify,new
Оптовка Барыс,,,"7V5Q+95M, Алматы, Казахстан",Магазин,4.1,4488,75,google_maps_apify,new
ОПТОВЫЙ СКЛАД АЛМАТЫ,+7 707 370 8128,,"ул. Москвина, 19, 2 линия 10 склад, Алматы 480000, Казахстан",Офис компании,3,2,15,google_maps_apify,new
Оптомаркет Евразия,,,"просп. Суюнбая 631, Алматы 050000, Казахстан",Супермаркет,4.4,238,45,google_maps_apify,new
METRO Алматы,+7 777 009 1344,https://www.metro-kz.com/magaziny/almaty?utm_source=gmb&utm_medium=organic&utm_content=website&utm_term=ALMATY,"улица Саина 16, Алматы 050031, Казахстан",Оптовая торговля,4.3,3922,75,google_maps_apify,new
Arzan Almaty Optom,+7 702 151 5880,https://taplink.cc/arzan.optom.almaty,"Северное Кольцо 68/3, Алматы, Казахстан",Оптовый продавец одежды,4.2,9,15,google_maps_apify,new
Phaeton DC,+7 727 356 0560,http://www.phaeton.kz/,"мкр. Колхозшы 4, Алматы 050039, Казахстан",Магазин автозапчастей,4.5,421,45,google_maps_apify,new
"""Индийский трикотаж"" оптовый склад",+7 707 419 2797,,"улица Толе Би 286/3, Алматы 050000, Казахстан",Магазин одежды,5,14,15,google_maps_apify,new
Оптовка,,https://2gis.kz/almaty/firm/9429940000801948,"ул. Тимирязева 101, Алматы 050060, Казахстан",Хозяйственный магазин,4.5,496,45,google_maps_apify,new
Носки Оптом Алматы,+7 708 242 5553,,"7VFJ+CCQ, Ул Бердыгулова, Алматы 050058, Казахстан",Продуктовый рынок,4.6,19,15,google_maps_apify,new
КАНЦTREND - Оптовый склад,+7 708 709 7060,https://www.instagram.com/kanstovar_almaty/,"ул. Бокейханова 514/1, Алматы 050000, Казахстан",Магазин товаров для дома,4,4,15,google_maps_apify,new
"Оптовый склад ""ТЕКСТИЛЯ""",+7 707 773 1376,http://wa.me/+77077731376,"корпус, С, ул.Бекболата 2/91 рынок Ожет, Алматы 050024, Казахстан",Магазин постельного белья,5,4,15,google_maps_apify,new
TOIMART,+7 800 070-01-42,https://www.toimart.kz/,"улица Розыбакиева 4, Алматы 050009, Казахстан",Супермаркет,4.3,4884,75,google_maps_apify,new
Оптовый склад Second Hand,+7 747 319 9154,https://second-hend.kz/,"улица Брюсова 4/35, Алматы 050000, Казахстан",Секонд-хенд,5,6,15,google_maps_apify,new
Торговый Центр Евразия Remax,+7 708 158 5050,,"ТРЦ Евразия барахолка Remax оптовый магазин 104, Алматы, Казахстан",Оптовая продажа бытовой техники,4.8,8,15,google_maps_apify,new
Almatyoptovka. Kz,+7 705 413 4864,,"улица Розыбакиева 19, Алматы 050009, Казахстан",Продуктовый рынок,5,8,15,google_maps_apify,new
Кенжехан базары,+7 707 869 7371,,"8W93+R9C, Алматы, Казахстан",Рынок,4.1,7235,90,google_maps_apify,new
Aakids Детская Одежда Оптом Алматы,+7 777 826 9696,,"8V4V+JGX, Алматы, Казахстан",Оптовый рынок,4.7,18,15,google_maps_apify,new
Оптовый Ковровый Склад,+7 747 646 4069,https://instagram.com/kovry_v_almaty_1111?igshid=16pfoz11o8v4r,"508рынок Салем, ул. Бокейханова, Алматы 050015, Казахстан",Магазин ковров,4.3,6,15,google_maps_apify,new
Бытовая химия оптом / ИП Оптовка,+7 707 656 9121,,"склады Карагай, Ауэзова 3г/7 Ауэзова 3г, Алматы 050009, Казахстан",Оптовая торговля,5,1,15,google_maps_apify,new
ILKAM,+7 707 851 1082,https://ilkam.kz/product_list,"ул. Гете 237 (перед приездом звоните!, Алматы 050054, Казахстан",Оптовая торговля,5,2,15,google_maps_apify,new
"ТОО ""Резервснаб плюс""",+7 727 356 0707,http://rsp.com.kz/,"просп. Суюнбая 497, Алматы 050030, Казахстан",Оптовая торговля,4,4,15,google_maps_apify,new
Ocean Fresh Group,+7 701 493 4155,https://oceanfresh.kz/,"43, 9800475 050056, Казахстан",Свежие продукты,5,2,15,google_maps_apify,new
SOZO,+7 701 772 7041,http://sozollp.kz/,"просп. Суюнбая 495В, Алматы 050000, Казахстан",Оптовая торговля за наличный расчёт без доставки товара,5,1,15,google_maps_apify,new
Fish&ka магазин морепродуктов,+7 707 635 2690,https://instagram.com/fishka__magazin?igshid=MzRlODBiNWFlZA==,"просп. Суюнбая 411, Алматы 050016, Казахстан",Магазин замороженных продуктов,4.4,9,15,google_maps_apify,new
Строительный магазин Все для дома,+7 705 143 1515,,"просп. Суюнбая 152б, Алматы, Казахстан",Магазин строительных товаров,4.3,20,30,google_maps_apify,new
ЕТС-Казахстан,+7 727 346 6614,https://utsrus.com/,"ул. Домбровского 3/1, Алматы 050039, Казахстан",Оптовая продажа химикатов,3.4,15,15,google_maps_apify,new
Башмак.кз,+7 727 329 3951,http://bashmak.kz/,"8XMJ+C55, Алматы, Казахстан",Обувной магазин,4,13,15,google_maps_apify,new
Volna,+7 775 007 0795,https://www.volna.kz/,"ул. Хмельницкого 36/1, Алматы 050056, Казахстан",Пивной магазин,1,1,15,google_maps_apify,new
Alma Global,+7 771 191 6364,,"ул. Бекмаханова 96, Алматы 050030, Казахстан",Оптовая продажа фруктов,,0,15,google_maps_apify,new
Book24,+7 777 007 6633,,"ул.Домбровского 3 «А», ул. Домбровского 3, Алматы 050039, Казахстан",Интернет-магазин,4.5,15,15,google_maps_apify,new
Deemax,+7 777 722 2226,http://www.deemax.kz/,"ул. Гёте 289, Алматы 050039, Казахстан",Интернет-магазин,5,1,15,google_maps_apify,new
ТМ «Tecata» - светодиодные лампы,+7 707 227 0701,,"ул.Ибрагимова 9а (СЭЗ ПИТ Медеуский район, мкр.Алатау ТОО ""DS Multimedia CA, Алматы 050032, Казахстан",Магазин осветительных приборов,4.7,9,15,google_maps_apify,new
"Жана Кенсе: канцтовары, магнитно-маркерные доски в Алматы",+7 702 206 9664,,"ул. Суонио 57/1, Алматы 050000, Казахстан",Магазин канцелярских товаров,,0,15,google_maps_apify,new
ARMTEK,+7 771 752 7600,https://armtek.kz/,"просп. Суюнбая 258/4, Алматы 050030, Казахстан",Магазин автозапчастей,4.3,395,45,google_maps_apify,new
Автозапчасти оптом,+7 727 327 8575,,"просп. Суюнбая 497, Алматы, Казахстан",,,0,15,google_maps_apify,new
ТОО МегаКлимат,+7 705 755 7212,http://www.megaklimat.kz/,"ул. Илийский Тракт 37, Алматы 050000, Казахстан",Магазин кондиционеров,4.7,6,15,google_maps_apify,new
Пакеты и пленка «Sheykh»,+7 700 000 0027,https://sheykh.kz/,"просп. Суюнбая 312, Алматы 050030, Казахстан",Поставщик пластиковых пакетов,,0,15,google_maps_apify,new
Фармацевтическая компания ТОО «Медоптик»,+7 727 383 2202,http://www.medoptic.kz/,"ул. Огарева, 2 «Б», Алматы 050039, Казахстан",Производитель,4.8,5,15,google_maps_apify,new
Аптечный Склад,+7 727 386 1731,,"ул. Монтажная 10, Алматы, Казахстан",Аптека,3.5,4,15,google_maps_apify,new
ЭЙКОС,+7 7272 90 28 22,https://www.aikos.kz/,"просп. Суюнбая 284, Алматы 050030, Казахстан",Магазин шин и дисков,4.3,4,15,google_maps_apify,new
Химреактивы,+7 7272 39 35 75,http://www.himco.kz/contact,"просп. Суюнбая д. 283, Алматы, Казахстан",Поставщик лабораторного оборудования,,0,15,google_maps_apify,new
Продовольственный рынок,,,"5WW4+WG7, улица Жарокова, Алматы, Казахстан",Фермерский рынок,4.2,571,60,google_maps_apify,new
Морской Урожай,+7 702 233 6927,,":Жандарбекова 128, Алматы 050060, Казахстан",Оптовая продажа морепродуктов,4.5,111,45,google_maps_apify,new
Стрейч пленка оптом в Алматы - Polyten.KZ,+7 700 151 5270,,"ул. Лизы Чайкиной 14, Алматы 050020, Казахстан",Поставщик полиэтиленовой и полимерной плёнки,5,3,15,google_maps_apify,new
DVG Service,+7 777 170 6761,https://dvg.kz/,"улица Таттимбета, 340, Улица Чайкиной 14, Алматы 050020, Казахстан",Компьютерный магазин,5,1,15,google_maps_apify,new
Кенжехан вещевой Рынок,+7 702 183 8121,,"8WC3+M53, Алматы, Казахстан",Рынок,4.2,2141,75,google_maps_apify,new
Passo Chantal Almaty,+7 701 947 0301,,"ул. Северное Кольцо, 118/4, рынок Кежехан-2, Алматы 050024, Казахстан",Оптовый продавец одежды,5,3,15,google_maps_apify,new
Мизам,+7 700 094 0094,,"8V4W+Q6H, Алматы, Казахстан",Рынок,4,1966,75,google_maps_apify,new
Торгoвое Оборудование / манекены / ресепшн / Экономпанели / TM Company,+7 701 254 9975,http://instagram.com/tm.maneken/,"Ул Бекболата 2/3, Алматы 050021, Казахстан",Поставщик оборудования для магазинов,4.7,12,15,google_maps_apify,new
"Социальный оптово-розничный рынок ""Самал""",,,"9W2H+HP5, Алматы, Казахстан",Торговый центр,4.4,441,45,google_maps_apify,new
Рынок Автозапчастей Кенжехан 2,+7 705 154 3272,,"8WC3+C2R, Алматы, Казахстан",Торговый центр,4.2,2803,75,google_maps_apify,new
Optom Almaty Istanbul,+7 707 710 5999,https://instagram.com/optom_almaty_istanbul?utm_medium=copy_link,"Северное Кольцо 36г/1, Алматы, Казахстан",Магазин одежды,5,8,15,google_maps_apify,new
"""Кенжехан"" 13-14ряд/2контейнер",+7 702 258 1208,,"8WC3+97J, Алматы, Казахстан",Рынок,4.2,3606,75,google_maps_apify,new
КОЛГОТКИ LAND,+7 747 279 2979,,"Северное кольцо рынок Кенжехан-2 2ряд 38место, 3ряд 38место, Алматы, Казахстан",Оптовая торговля,,0,15,google_maps_apify,new
"Оптомаркет ""Кокжиек""",,,"9W48+8RQ, Алматы, Казахстан",Магазин,4.6,130,45,google_maps_apify,new
Детская Одежда Оптом ErkemaiShop,+7 747 272 0662,,"Северное кольцо, 36г ТЦ ""Laleli Plaza"" 1 этаж, 49-50 бутик, ErkemaiShop, Алматы, Казахстан",Оптовый продавец одежды,5,5,15,google_maps_apify,new
Optom Kenjehan,+7 708 805 0451,,"шоссе Северное Кольцо, 120/4, ТД Тянь Шань, 8 ряд, 32 бутик, Алматы 050028, Казахстан",Магазин одежды,5,5,15,google_maps_apify,new
TOIMART,+7 800 070-01-42,https://www.toimart.kz/,"Бекболата ул. 2/91, Алматы 050024, Казахстан",Супермаркет,4.6,81,30,google_maps_apify,new
EG Clothing,+7 701 734 9712,http://www.instagram.com/egofficial_optom/,"Северное кольцо 120/4, ТД ТЯНЬ-ШАНЬ 8 ряд, бутик 19-23, Алматы 050024, Казахстан",Оптовый продавец одежды,5,1,15,google_maps_apify,new
"Посуда Кенжехан-2, Ряд-15, Контейнер41",,,"8WC3+W5R, Алматы, Казахстан",Рынок,4.2,495,45,google_maps_apify,new
Оптом домашний текстиль,+7 771 410 0204,http://optom-textile.tilda.ws/,"Северное Кольцо 92, Алматы, Казахстан",Оптовая торговля,,0,15,google_maps_apify,new
Детская одежда оптом Алматы Cool kids,+7 700 296 9205,https://www.instagram.com/coolkids_odejda_optom_,"ул. Северное Кольцо, 118/4, ТЦ Laleli Plaza, 1 этаж, 22 бутик, Алматы 050024, Казахстан",Магазин детской одежды,5,4,15,google_maps_apify,new
Passo Chantal (Madame Chantal CHMD),+7 701 743 3125,https://www.madame-chantal.kz/,"9 павильон, Северное кольцо 118/4, Рынок Кенжехан-2, 17 ряд, Алматы 050024, Казахстан",Магазин одежды,5,2,15,google_maps_apify,new
детская одежда оптом SAKURA KIDS,+7 776 284 7343,https://instagram.com/optom.sakura.kids?igshid=NTdlMDg3MTY=,"8WF2+34, Алматы, Казахстан",Магазин детской одежды,5,2,15,google_maps_apify,new
"Оптово-Розничный Павильон №4 Продовольственная компания ""Изобилие""",+7 778 922 2929,,"6VRR+HMF, улица Радостовца, Алматы 050000, Казахстан",Продовольственный магазин,5,1,15,google_maps_apify,new
ТОО АКЭТО,+7 707 095 0097,https://aketo.kz/,"ул. Павлодарская 82, Алматы, Казахстан",Оптовая торговля,4,6,15,google_maps_apify,new
SMALL,+7 800 070-71-70,https://small.kz/ru/almaty,"Северное Кольцо 99/4, Алматы 050048, Казахстан",Супермаркет,4.3,1337,75,google_maps_apify,new
BAURAMIX market,+7 775 107 7707,https://bauramix.kz/,"улица Бурундайская 16, Алматы 050048, Казахстан",Оптовая продажа строительных материалов,5,6,15,google_maps_apify,new
"Ярмарка ""Турксиб""",+7 701 722 9495,https://instagram.com/turksib_yarmarka_almaty,"просп. Суюнбая 261, Алматы 050054, Казахстан",Рынок,4.4,6846,90,google_maps_apify,new
Оптомаркет Мирас.,,,"9W3W+PR5, Алматы, Казахстан",Продовольственный магазин,4.2,292,45,google_maps_apify,new
Продукты,,,"8XXP+2M7, ул. Лавренева, Алматы, Казахстан",Продовольственный магазин,4.3,258,45,google_maps_apify,new
Морепродукты в Алматы / Ice Fish,+7 771 400 4222,https://icefish.kz/,"ул. Рихарда Зорге 18/1, Алматы, Казахстан",Рыбный магазин,4.4,26,30,google_maps_apify,new
