"Компания","Телефон","Сайт","Категория","Score"
"Ярмарка ""Турксиб""","+7 701 722 9495","https://instagram.com/turksib_yarmarka_almaty","Рынок","90"
"Рынок Алатау-1","+7 708 949 5665","http://alataumarket.kz/","Рынок","90"
"Рынок Болашак","+7 776 077 0176","","Вещевой рынок","90"
"Кенжехан базары","+7 707 869 7371","","Рынок","90"
"Авторынок Жибек Жолы","+7 702 600 5001","","Рынок автозапчастей","90"
"Magnum","+7 727 339 7340","https://magnum.kz/","Гипермаркет","90"
"Рынок Алматы 1","+7 777 077 1737","","Рынок","90"
"ТЦ Байсат","+7 7272 45 05 55","","Торговый центр","90"
"Барахолка","+7 777 211 5565","","Рынок","90"
"Комфорт","+7 771 929 1312","https://www.komfort.kz/","Строительный магазин","90"
"Рынок ""Тастак"" 12 Бутик Электротовары","+7 708 671 9050","","Рынок","90"
"Торговый Центр","+7 701 487 7802","","Торговый центр","75"
"abdi","+7 727 394 3752","https://abdi.kz/","Магазин канцелярских товаров","75"
"Алатау","+7 7272 48 65 93","","Торговый центр","75"
"Швейная фурнитура Атакент","+7 777 705 2611","https://www.instagram.com/shveinaya_furnitura_atakent/","Магазин товаров для рукоделия","75"
"Рынок ""Ак-булак""","+7 701 733 6916","https://instagram.com/aqbulaq.kz?utm_medium=copy_link","Торговый центр","75"
"Сеть зоомагазинов ""Живой Мир""","+7 771 409 9922","https://zhivoimir.kz/","Зоомагазин","75"
"Рынок ""Береке""","+7 7272 53 78 39","","Рынок","75"
"Автотрейд","+7 727 345 1080","https://autotrade.kz/","Магазин автозапчастей","75"
"Кенжехан","+7 771 857 7272","","Торговый центр","75"
"Ритц Палас","+7 727 332 2724","https://ritz-palace.kz/","Торговый центр","75"
"Кондитерская фабрика ЛОТТЕ Рахат","+7 7272 58 47 10 ext. 590","https://www.rakhat.kz/","Кондитерский магазин","75"
"Новый Ялян Торговый Центр","+7 705 344 8595","https://www.instagram.com/yalyan.kz/","Торговый центр","75"
"Компьютерный магазин ТОО ""Пульсер""","+7 700 356 8000","http://www.pulser.kz/","Компьютерный магазин","75"
"ТД Пассаж","+7 7272 73 24 21","","Торговый центр","75"
"Кенжехан","+7 707 105 5523","","Рынок","75"
"Верненский Рынок","+7 708 951 4988","","Продуктовый рынок","75"
"SMALL","+7 800 070-71-70","https://small.kz/ru/almaty","Супермаркет","75"
"Мизам","+7 700 094 0094","","Рынок","75"
"Рынок Автозапчастей Кенжехан 2","+7 705 154 3272","","Торговый центр","75"
"""Кенжехан"" 13-14ряд/2контейнер","+7 702 258 1208","","Рынок","75"
"TOIMART","+7 800 070-01-42","https://www.toimart.kz/","Супермаркет","75"
"A-Store","+7 727 330 9777","http://a-store.kz/","Гипермаркет","75"
"METRO Алматы","+7 777 009 1344","https://www.metro-kz.com/magaziny/almaty?utm_source=gmb&utm_medium=organic&utm_content=website&utm_term=ALMATY","Оптовая торговля","75"
"Кенжехан вещевой Рынок","+7 702 183 8121","","Рынок","75"
"Тастак","+7 778 920 6786","","Рынок","75"
"Строй-Сити","+7 7272 45 18 96","","Торговый центр","75"
"рынок ""Ак Орда""","+7 708 971 2331","","Рынок","60"
"ТехноGRAD","+7 727 346 3333","https://tgrad.kz/","Магазин бытовой техники","60"
"Henry BONNAR","+7 747 094 9999","https://henrybonnar.com/","Цветочный магазин","60"
"TOIMART","+7 800 070-01-42","https://www.toimart.kz/","Супермаркет","60"
"Группа компаний ""Автомаляр""","+7 727 339 8253","http://www.avtomalyar.kz/","Магазин автохимии","60"
"Строительный рынок Бахар","+7 707 471 7096","","Строительный рынок","60"
"Магазин ""Ароматный Мир""","+7 706 663 1438","http://aromatniymir.kz/","Магазин спиртных напитков","60"
"ТОО KingFisher","+7 708 500 0090","http://www.kingfisher.kz/","Рыбный магазин","60"
"Renault Официальный дилер (Алматы Суюнбая)","+7 708 941 0882","http://aster-renault.kz/","Автосалон","60"
"Декатлон Казахстан","+7 702 075 0777","https://decathlon.kz/","Магазин спорттоваров","60"
"УЮТ - Мебель и товары для дома ИКЕА","+7 777 355 7055","https://kaspi.kz/shop/search/?text=ikea&q=%3AavailableInZones%3AMagnum_ZONE1%3Acategory%3ACategories%3AallMerchants%3AWmart&sort=relevance&filteredByCategory=false&sc=","Магазин товаров для дома","60"
"Rosalie Flowers","+7 747 094 1136","https://cvetyvalmaty.kz/","Доставка цветов","60"
"UTI-PUTI","+7 707 784 9801","https://uti-puti.kz/","Магазин детской одежды","60"
"Тастак Строительный рынок","+7 775 503 8231","","Рынок","60"
